glove	respect
leaf_blower	you need to collect your thoughts and/or ideas together in order to better process and understand
paranormal	you are refusing to take responsibility for your actions
bed	you are feeling helpless and disconnected from those around you
senior_home	you need to reconnect with some elderly person in your waking life
medium	you are getting in touch with your intuitive side
embryo	the emergence of a fresh idea
aqueduct	your spiritual path
racetrack	life in the fast lane for you
disneyland	you need to take some time off, especially after all the hard work you have been involved that in
eruption	a forceful and jolting outpour of repressed thoughts 
clothespin	you are above the situation at hand
harness	control and lack of freedom
tattoo	he or she is trying to express himself or herself in the relationship
anvil	you hold the power and key to your own success
temperature	you need to keep your temper in check
waterfall	you are feeling emotionally overwhelmed
blood	you are suffering from exhaustion or that you are feeling emotionally drained
butler	your feelings of subservience
hamper	you need to find a more productive way to express your negative feelings
bandage	someone is causing you some emotional pain
hypnotist	your powerful influence over others
sunshine	you are experiencing some sort of emotional or situational breakthrough
ice_skating	you need to trust in yourself and your actions
thunder	a violent eruption of anger and aggression
measles	the problems of others are becoming your own problems
monster	you will successfully overcome your rivals and advance to a higher position
diving	psychological and emotional balance
elderly	wisdom or spiritual power
cement_truck	firm and "concrete" ideas or plans that are being set into motion
kangaroo	your reputation is being called into question
bully	repressed rage
heimlich_maneuver	you are beginning to open up to others
blade	some ambivalence, confusion or ambiguity with some decision you are trying that to make
monkey	deceit, insight and intuition
saw	you need to quit doing something
zoo	loss of freedom
charm_bracelet	symbolic of protection from any harm
checkerboard	the many aspects and facets of your personality
knitting	a quiet, peaceful and loving home life
condom	sexual frustration
intercourse	dissatisfaction with the physical side of your relationship
meatball	a new idea is forming or a new project is taking shape
albatross	endurance and freedom
polar_bear	a reawakening
beach	unknown and major changes that are occurring in your life
tricycle	simplicity and a carefree nature
skydiving	your high ideals
video	you are manipulating how someone views you
bar	your own inner strength
plumbing	the flow of emotions
juice	the gift of life and vitality
oxygen	you are feeling suffocated or smothered by a situation in your life
burj_khalifia	the ultimate success
visitor	some important news or information will soon be revealed to you
